Course Title,Course Author,Course Link,Authors's Image Link
Machine Learning in the Tidyverse , Dmitriy Gorenshteyn, /courses/machine-learning-in-the-tidyverse, https://assets.datacamp.com/users/avatars/000/078/072/square/dima.jpeg?1514901110
Predictive Analytics using Networked Data in R , Bart Baesens, /courses/predictive-analytics-using-networked-data-in-r, https://assets.datacamp.com/users/avatars/000/999/751/square/Bart_Baesens.JPG?1541789370
Pivot Tables with Spreadsheets , Frank Sumanski, /courses/pivot-tables-with-spreadsheets, https://assets.datacamp.com/users/avatars/002/190/343/square/Screenshot_2018-09-21_08.06.58.png?1537513965
Intermediate SQL Server , Ginger Grant, /courses/intermediate-t-sql, https://assets.datacamp.com/users/avatars/001/044/978/square/GingerGrantPhoto.png?1543582952
Web Scraping in Python , Thomas Laetsch, /courses/web-scraping-with-python, https://assets.datacamp.com/users/avatars/000/344/447/square/SquareProfileFace.JPG?1550166117
Designing and Analyzing Clinical Trials in R , Tamuno Alfred, /courses/designing-and-analyzing-clinical-trials-in-r, https://assets.datacamp.com/users/avatars/001/548/712/square/tkalfred_2.png?1538512286
Intermediate Spreadsheets for Data Science , Richie Cotton, /courses/intermediate-spreadsheets-for-data-science, https://assets.datacamp.com/users/avatars/000/547/073/square/richieaboutpic.jpg?1493156961
Convolutional Neural Networks for Image Processing , Ariel Rokem, /courses/convolutional-neural-networks-for-image-processing, https://assets.datacamp.com/users/avatars/001/449/022/square/ariel-headshot.jpg?1532723856
Linear Algebra for Data Science in R , Eric Eager, /courses/linear-algebra-for-data-science-in-r, https://assets.datacamp.com/users/avatars/000/816/199/square/Eric_Eager.jpg?1539379039
Generalized Linear Models in R , Richard Erickson, /courses/generalized-linear-models-in-r, https://assets.datacamp.com/users/avatars/001/561/773/square/DSC04589.JPG?1522202088
Writing Functions and Stored Procedures in SQL Server , Meghan Kwartler, /courses/writing-functions-and-stored-procedures-in-sql-server, https://assets.datacamp.com/users/avatars/002/195/148/square/2018-08-28_14.44.10.jpg?1551985226
Advanced NLP with spaCy , Ines Montani, /courses/advanced-nlp-with-spacy, https://assets.datacamp.com/users/avatars/001/270/491/square/profile_ines.jpg?1534892650
Spreadsheet Basics , Vincent Vankrunkelsven, /courses/spreadsheet-basics, https://assets.datacamp.com/users/avatars/002/422/688/square/about_pic.jpg?1524671858
Data Analysis with Spreadsheets , Vincent Vankrunkelsven, /courses/data-analysis-with-spreadsheets, https://assets.datacamp.com/users/avatars/002/422/688/square/about_pic.jpg?1524671858
Supply Chain Analytics in Python , Aaren Stubberfield, /courses/supply-chain-analytics-in-python, https://assets.datacamp.com/users/avatars/002/736/133/square/DataCampPhoto.jpg?1548210086
Fraud Detection in R , Bart Baesens, /courses/fraud-detection-in-r, https://assets.datacamp.com/users/avatars/000/999/751/square/Bart_Baesens.JPG?1541789370
Analyzing Social Media Data in Python , Alex Hanna, /courses/analyzing-social-media-data-in-python, https://assets.datacamp.com/users/avatars/001/675/264/square/hanna-square.png?1517076011
GARCH Models in R , Kris Boudt, /courses/garch-models-in-r, https://assets.datacamp.com/users/avatars/000/000/048/square/2KZqyDVQ.jpg?1542386843
Course Creation at DataCamp , Content Team, /courses/course-creation-at-datacamp, https://assets.datacamp.com/users/avatars/002/987/936/square/DataCamp_icon_-_square.png?1537216670
Object-Oriented Programming in Python , Vicki Boykis, /courses/object-oriented-programming-in-python, https://assets.datacamp.com/users/avatars/001/729/348/square/3837836.jpg?1548528455
Fraud Detection in Python , Charlotte Werger, /courses/fraud-detection-in-python, https://assets.datacamp.com/users/avatars/001/503/524/square/charlotte.jpg?1543774778
Advanced Dimensionality Reduction in R , Federico Castanedo, /courses/advanced-dimensionality-reduction-in-r, https://assets.datacamp.com/users/avatars/000/575/927/square/photo_fcastanedo_s.jpg?1548374277
